,date,location,time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,UVB,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
0,2016/01/01,оч╢щ,0.0,16.0,1.9,0.47,0.08,0.5,8.2,8.7,50.0,90.0,56.0,NR,74.0,3.4,2.0,0.0,101.0,99.0,3.8,3.3
1,2016/01/01,оч╢щ,1.0,15.0,1.9,0.47,0.07,0.6,8.0,8.6,49.0,84.0,50.0,NR,78.0,3.0,2.0,0.0,98.0,93.0,3.2,2.7
2,2016/01/01,оч╢щ,2.0,16.0,1.9,0.42,0.06,0.7,7.8,8.5,47.0,73.0,51.0,NR,79.0,3.1,2.0,0.0,95.0,96.0,3.4,2.7
3,2016/01/01,оч╢щ,3.0,16.0,1.9,0.37,0.05,0.4,5.3,5.7,46.0,66.0,46.0,NR,78.0,2.7,1.9,0.0,96.0,100.0,2.6,2.7
4,2016/01/01,оч╢щ,4.0,16.0,1.9,0.35,0.05,0.7,4.9,5.6,45.0,60.0,41.0,NR,80.0,2.5,1.9,0.0,102.0,99.0,3.1,2.9
5,2016/01/01,оч╢щ,5.0,16.0,1.9,0.35,0.05,0.7,5.5,6.2,43.0,64.0,36.0,NR,81.0,3.6,1.9,0.0,96.0,95.0,3.1,2.5
6,2016/01/01,оч╢щ,6.0,16.0,1.9,0.35,0.06,0.6,5.5,6.1,43.0,69.0,29.0,NR,80.0,3.1,1.9,0.0,101.0,99.0,3.7,3.6
7,2016/01/01,оч╢щ,7.0,20.0,1.9,0.44,0.09,2.4,9.9,12.0,40.0,58.0,28.0,NR,72.0,1.9,2.0,4.3,91.0,92.0,3.4,3.6
8,2016/01/01,оч╢щ,8.0,21.0,1.9,0.44,0.1,2.6,10.0,13.0,40.0,56.0,29.0,NR,69.0,1.5,2.0,5.2,86.0,79.0,3.7,3.1
9,2016/01/01,оч╢щ,9.0,22.0,1.9,0.41,0.08,2.4,8.4,11.0,43.0,51.0,24.0,NR,68.0,1.4,1.9,5.2,89.0,84.0,3.7,3.3
10,2016/01/01,оч╢щ,10.0,22.0,1.9,0.42,0.08,2.3,8.7,11.0,43.0,45.0,27.0,NR,67.0,1.5,2.0,4.1,83.0,93.0,3.6,3.1
11,2016/01/01,оч╢щ,11.0,22.0,1.9,0.43,0.08,2.2,9.8,12.0,42.0,43.0,23.0,NR,68.0,1.9,2.0,2.5,89.0,84.0,2.9,2.9
12,2016/01/01,оч╢щ,12.0,22.0,1.9,0.45,0.1,2.3,11.0,13.0,39.0,53.0,32.0,NR,70.0,3.3,2.0,1.1,84.0,83.0,2.5,2.4
13,2016/01/01,оч╢щ,13.0,21.0,1.9,0.48,0.11,1.9,14.0,16.0,34.0,59.0,28.0,NR,76.0,4.2,2.0,0.3,84.0,82.0,2.0,1.9
14,2016/01/01,оч╢щ,14.0,20.0,1.9,0.55,0.13,1.5,17.0,19.0,32.0,56.0,27.0,NR,81.0,3.9,2.0,0.0,83.0,85.0,1.5,1.3
15,2016/01/01,оч╢щ,15.0,20.0,1.9,0.6,0.15,1.1,21.0,22.0,28.0,44.0,27.0,NR,82.0,4.5,2.0,0.0,88.0,99.0,1.1,1.0
16,2016/01/01,оч╢щ,16.0,19.0,1.9,0.57,0.14,1.0,22.0,23.0,27.0,39.0,25.0,NR,83.0,6.1,2.0,0.0,97.0,199.0,0.6,0.6
17,2016/01/01,оч╢щ,17.0,19.0,2.0,0.76,0.23,4.1,30.0,35.0,17.0,41.0,25.0,NR,86.0,5.8,2.2,0.0,336.0,330.0,0.5,0.3
18,2016/01/01,оч╢щ,18.0,18.0,2.2,1.13,0.4,17.0,38.0,55.0,1.8,46.0,29.0,NR,90.0,3.6,2.6,0.0,356.0,347.0,0.5,0.3
19,2016/01/01,оч╢щ,19.0,17.0,2.1,1.12,0.36,21.0,35.0,55.0,1.3,47.0,25.0,NR,93.0,3.0,2.4,0.0,64.0,80.0,0.5,0.4
20,2016/01/01,оч╢щ,20.0,17.0,2.2,1.41,0.46,34.0,32.0,66.0,1.3,48.0,30.0,NR,95.0,3.0,2.6,0.0,94.0,126.0,0.5,0.4
21,2016/01/01,оч╢щ,21.0,18.0,2.2,1.13,0.4,17.0,38.0,55.0,1.8,46.0,29.0,NR,90.0,3.6,2.6,0.0,356.0,347.0,0.5,0.3
22,2016/01/01,оч╢щ,22.0,17.0,2.1,1.12,0.36,21.0,35.0,55.0,1.3,47.0,25.0,NR,93.0,3.0,2.4,0.0,64.0,80.0,0.5,0.4
